,Beautiful,Confusing,Courageous,Fascinating,Funny,Informative,Ingenious,Inspiring,Jaw-dropping,Longwinded,OK,Obnoxious,Persuasive,Unconvincing,talk_id
0,4573.0,242.0,3253.0,10581.0,19645.0,7346.0,6073.0,24924.0,4439.0,387.0,1174.0,209.0,10704.0,300.0,1.0
1,58.0,62.0,139.0,132.0,544.0,443.0,56.0,413.0,116.0,113.0,203.0,131.0,268.0,258.0,2.0
2,60.0,27.0,45.0,166.0,964.0,395.0,183.0,230.0,54.0,78.0,146.0,142.0,230.0,104.0,3.0
3,291.0,32.0,760.0,132.0,59.0,380.0,105.0,1070.0,230.0,53.0,85.0,35.0,460.0,36.0,4.0
4,942.0,72.0,318.0,4606.0,1390.0,5433.0,3202.0,2893.0,3736.0,110.0,248.0,61.0,2542.0,67.0,5.0
5,706.0,301.0,721.0,1350.0,1102.0,1038.0,397.0,5211.0,669.0,285.0,441.0,335.0,2423.0,377.0,6.0
6,277.0,72.0,477.0,316.0,2484.0,226.0,320.0,438.0,61.0,193.0,308.0,290.0,311.0,225.0,7.0
7,98.0,25.0,34.0,153.0,9.0,121.0,195.0,175.0,57.0,26.0,63.0,5.0,37.0,26.0,8.0
8,145.0,70.0,562.0,313.0,60.0,623.0,211.0,441.0,60.0,177.0,154.0,83.0,764.0,283.0,9.0
9,767.0,111.0,476.0,459.0,26.0,304.0,116.0,2556.0,209.0,306.0,245.0,371.0,1543.0,838.0,10.0
10,51.0,14.0,169.0,148.0,18.0,187.0,258.0,608.0,66.0,34.0,39.0,7.0,160.0,21.0,11.0
11,70.0,7.0,96.0,41.0,5.0,33.0,20.0,201.0,20.0,16.0,26.0,1.0,42.0,14.0,12.0
12,16.0,2.0,86.0,83.0,3.0,188.0,57.0,240.0,70.0,9.0,11.0,5.0,111.0,5.0,13.0
13,277.0,19.0,34.0,919.0,104.0,461.0,1014.0,471.0,4643.0,55.0,188.0,23.0,77.0,32.0,14.0
14,32.0,6.0,83.0,67.0,14.0,104.0,89.0,216.0,29.0,20.0,30.0,11.0,49.0,31.0,15.0
15,1671.0,10.0,143.0,635.0,190.0,22.0,190.0,879.0,2280.0,29.0,95.0,39.0,41.0,15.0,16.0
16,1107.0,22.0,85.0,454.0,24.0,32.0,197.0,552.0,1997.0,35.0,68.0,31.0,22.0,53.0,17.0
17,67.0,7.0,150.0,159.0,21.0,279.0,321.0,515.0,63.0,19.0,30.0,4.0,140.0,13.0,18.0
18,259.0,80.0,79.0,220.0,49.0,71.0,185.0,363.0,93.0,119.0,68.0,210.0,22.0,113.0,19.0
19,104.0,13.0,63.0,181.0,19.0,478.0,170.0,277.0,54.0,46.0,68.0,11.0,73.0,14.0,20.0
20,22.0,8.0,52.0,111.0,12.0,320.0,117.0,258.0,26.0,30.0,69.0,6.0,120.0,26.0,21.0
21,74.0,203.0,75.0,177.0,2799.0,61.0,387.0,196.0,80.0,266.0,450.0,239.0,20.0,137.0,22.0
22,54.0,40.0,33.0,34.0,106.0,82.0,9.0,86.0,3.0,119.0,87.0,41.0,23.0,67.0,23.0
23,864.0,115.0,177.0,2106.0,780.0,2591.0,345.0,1083.0,207.0,245.0,394.0,111.0,1513.0,249.0,24.0
24,342.0,13.0,654.0,144.0,109.0,154.0,44.0,789.0,97.0,31.0,26.0,43.0,97.0,27.0,25.0
25,91.0,42.0,92.0,515.0,131.0,446.0,269.0,397.0,139.0,45.0,73.0,21.0,1234.0,49.0,26.0
26,333.0,42.0,112.0,1281.0,127.0,653.0,417.0,674.0,324.0,91.0,93.0,39.0,367.0,41.0,27.0
27,12.0,7.0,93.0,404.0,485.0,532.0,175.0,43.0,61.0,35.0,44.0,17.0,109.0,19.0,28.0
28,333.0,80.0,87.0,2082.0,1668.0,2004.0,1127.0,1276.0,290.0,190.0,361.0,51.0,1014.0,115.0,29.0
29,444.0,241.0,248.0,4303.0,1728.0,3899.0,1166.0,3554.0,1047.0,169.0,439.0,67.0,2355.0,174.0,30.0
30,277.0,54.0,400.0,2491.0,1526.0,2532.0,1201.0,2427.0,521.0,178.0,421.0,115.0,2478.0,324.0,31.0
31,68.0,30.0,171.0,356.0,13.0,277.0,279.0,377.0,152.0,84.0,75.0,58.0,93.0,38.0,32.0
32,65.0,206.0,350.0,812.0,215.0,536.0,297.0,518.0,337.0,215.0,145.0,120.0,1359.0,309.0,33.0
33,6.0,11.0,55.0,61.0,1.0,153.0,112.0,164.0,18.0,16.0,32.0,3.0,66.0,8.0,34.0
34,60.0,4.0,53.0,62.0,5.0,138.0,30.0,260.0,6.0,5.0,21.0,3.0,92.0,16.0,35.0
35,11.0,11.0,53.0,27.0,1.0,101.0,42.0,71.0,3.0,31.0,25.0,4.0,51.0,4.0,36.0
36,48.0,25.0,139.0,44.0,9.0,218.0,31.0,113.0,35.0,21.0,51.0,11.0,112.0,35.0,37.0
37,30.0,23.0,168.0,247.0,63.0,336.0,86.0,498.0,63.0,70.0,115.0,47.0,198.0,77.0,38.0
38,44.0,1.0,274.0,124.0,80.0,44.0,7.0,288.0,74.0,10.0,20.0,7.0,22.0,18.0,39.0
39,68.0,12.0,104.0,51.0,26.0,80.0,22.0,294.0,39.0,41.0,24.0,33.0,145.0,30.0,40.0
40,106.0,11.0,52.0,149.0,8.0,184.0,20.0,158.0,95.0,58.0,27.0,10.0,64.0,10.0,41.0
41,6.0,4.0,11.0,74.0,1.0,115.0,126.0,48.0,18.0,18.0,23.0,8.0,27.0,20.0,42.0
42,13.0,67.0,15.0,357.0,103.0,844.0,106.0,87.0,73.0,98.0,75.0,11.0,364.0,2.0,43.0
43,136.0,51.0,109.0,799.0,2751.0,1344.0,509.0,373.0,133.0,37.0,237.0,157.0,1958.0,151.0,44.0
44,55.0,91.0,61.0,691.0,18.0,806.0,207.0,388.0,309.0,150.0,141.0,27.0,237.0,111.0,45.0
45,52.0,87.0,34.0,311.0,11.0,269.0,192.0,279.0,49.0,147.0,111.0,24.0,1084.0,136.0,46.0
46,23.0,8.0,180.0,27.0,5.0,145.0,36.0,222.0,33.0,25.0,36.0,3.0,92.0,14.0,47.0
47,576.0,43.0,457.0,777.0,2966.0,1912.0,638.0,4978.0,251.0,27.0,685.0,57.0,1433.0,213.0,48.0
48,408.0,45.0,44.0,186.0,949.0,21.0,377.0,195.0,94.0,41.0,135.0,73.0,25.0,56.0,49.0
49,8.0,28.0,31.0,85.0,54.0,749.0,31.0,151.0,62.0,8.0,133.0,14.0,331.0,61.0,50.0
50,18.0,36.0,45.0,130.0,3.0,265.0,21.0,105.0,32.0,70.0,62.0,47.0,73.0,97.0,51.0
51,16.0,63.0,283.0,169.0,16.0,549.0,139.0,280.0,67.0,79.0,111.0,212.0,1668.0,537.0,52.0
52,563.0,24.0,192.0,928.0,68.0,698.0,136.0,970.0,380.0,55.0,75.0,46.0,426.0,54.0,53.0
53,126.0,14.0,61.0,88.0,5.0,116.0,16.0,157.0,17.0,30.0,24.0,7.0,33.0,25.0,54.0
54,214.0,27.0,63.0,737.0,47.0,607.0,132.0,460.0,117.0,109.0,175.0,21.0,188.0,60.0,55.0
55,30.0,55.0,140.0,167.0,342.0,251.0,121.0,343.0,23.0,102.0,129.0,40.0,288.0,107.0,56.0
56,13.0,5.0,10.0,201.0,20.0,384.0,26.0,94.0,11.0,9.0,66.0,2.0,72.0,5.0,57.0
57,32.0,10.0,29.0,200.0,11.0,355.0,116.0,408.0,36.0,37.0,67.0,3.0,249.0,16.0,58.0
58,1810.0,53.0,142.0,846.0,21.0,18.0,420.0,525.0,2011.0,58.0,81.0,22.0,34.0,22.0,59.0
59,186.0,31.0,179.0,224.0,149.0,67.0,151.0,208.0,146.0,14.0,37.0,39.0,36.0,7.0,60.0
60,4.0,94.0,4.0,84.0,3.0,98.0,89.0,48.0,23.0,31.0,53.0,6.0,12.0,22.0,61.0
61,26.0,55.0,9.0,172.0,11.0,111.0,156.0,188.0,105.0,21.0,10.0,9.0,42.0,12.0,62.0
62,313.0,30.0,159.0,242.0,199.0,411.0,93.0,1260.0,35.0,73.0,141.0,21.0,575.0,53.0,63.0
63,45.0,7.0,102.0,86.0,11.0,208.0,37.0,368.0,32.0,45.0,47.0,11.0,160.0,23.0,64.0
64,168.0,20.0,74.0,229.0,44.0,353.0,60.0,403.0,79.0,71.0,46.0,5.0,178.0,17.0,65.0
65,126.0,15.0,637.0,198.0,3.0,234.0,25.0,574.0,296.0,27.0,24.0,13.0,171.0,24.0,66.0
66,441.0,28.0,289.0,432.0,36.0,387.0,35.0,944.0,107.0,70.0,63.0,27.0,285.0,30.0,67.0
67,95.0,23.0,91.0,571.0,785.0,997.0,444.0,1040.0,100.0,46.0,158.0,34.0,811.0,59.0,68.0
68,101.0,34.0,39.0,298.0,306.0,360.0,106.0,230.0,54.0,54.0,66.0,47.0,29.0,184.0,69.0
69,109.0,80.0,2.0,367.0,319.0,173.0,221.0,62.0,93.0,123.0,284.0,35.0,32.0,102.0,70.0
70,20.0,14.0,19.0,68.0,15.0,89.0,121.0,116.0,34.0,49.0,17.0,17.0,63.0,34.0,71.0
71,27.0,7.0,23.0,310.0,35.0,319.0,89.0,176.0,181.0,19.0,21.0,15.0,133.0,19.0,72.0
72,180.0,31.0,52.0,138.0,468.0,100.0,159.0,542.0,23.0,68.0,123.0,14.0,33.0,70.0,73.0
73,100.0,15.0,78.0,158.0,12.0,313.0,97.0,518.0,72.0,31.0,59.0,14.0,174.0,30.0,74.0
74,24.0,69.0,11.0,53.0,7.0,59.0,42.0,91.0,15.0,61.0,44.0,18.0,2.0,60.0,75.0
75,88.0,32.0,36.0,76.0,97.0,87.0,23.0,162.0,9.0,100.0,64.0,45.0,28.0,81.0,76.0
76,123.0,7.0,22.0,38.0,11.0,2.0,17.0,71.0,22.0,3.0,31.0,13.0,5.0,20.0,77.0
77,33.0,1.0,12.0,98.0,31.0,199.0,130.0,276.0,9.0,11.0,56.0,19.0,54.0,14.0,78.0
78,364.0,10.0,27.0,402.0,507.0,46.0,448.0,362.0,162.0,21.0,44.0,9.0,20.0,16.0,79.0
79,20.0,88.0,66.0,119.0,15.0,151.0,78.0,108.0,19.0,173.0,108.0,66.0,47.0,273.0,80.0
80,241.0,11.0,74.0,704.0,14.0,448.0,387.0,874.0,338.0,33.0,38.0,27.0,234.0,18.0,81.0
81,12.0,23.0,21.0,163.0,3.0,199.0,54.0,73.0,74.0,8.0,10.0,0.0,23.0,3.0,82.0
82,95.0,53.0,7.0,65.0,13.0,21.0,56.0,43.0,16.0,89.0,89.0,57.0,0.0,80.0,83.0
83,544.0,15.0,56.0,1342.0,272.0,604.0,119.0,556.0,1936.0,23.0,61.0,37.0,106.0,70.0,84.0
84,1262.0,25.0,71.0,600.0,18.0,262.0,141.0,611.0,882.0,108.0,145.0,88.0,62.0,75.0,85.0
85,111.0,5.0,16.0,724.0,159.0,496.0,108.0,85.0,234.0,21.0,67.0,8.0,16.0,3.0,86.0
86,84.0,8.0,16.0,10.0,259.0,11.0,45.0,25.0,5.0,6.0,70.0,28.0,16.0,16.0,87.0
87,215.0,5.0,5.0,32.0,2.0,0.0,1.0,45.0,17.0,20.0,58.0,9.0,7.0,21.0,88.0
88,67.0,101.0,27.0,653.0,219.0,680.0,189.0,204.0,89.0,197.0,289.0,45.0,182.0,264.0,89.0
89,1535.0,49.0,397.0,1291.0,122.0,483.0,312.0,2061.0,1587.0,107.0,114.0,29.0,218.0,33.0,90.0
90,138.0,27.0,149.0,286.0,75.0,257.0,415.0,695.0,207.0,49.0,25.0,39.0,907.0,34.0,91.0
91,18.0,24.0,14.0,93.0,130.0,267.0,66.0,166.0,16.0,83.0,66.0,16.0,68.0,41.0,92.0
92,225.0,8.0,11.0,117.0,169.0,4.0,189.0,124.0,133.0,7.0,17.0,11.0,8.0,5.0,93.0
93,396.0,2.0,13.0,24.0,5.0,0.0,2.0,61.0,35.0,9.0,47.0,7.0,3.0,17.0,94.0
94,272.0,12.0,20.0,31.0,1.0,6.0,3.0,169.0,48.0,12.0,23.0,15.0,24.0,13.0,95.0
95,223.0,87.0,435.0,112.0,11.0,75.0,36.0,319.0,27.0,104.0,66.0,66.0,98.0,316.0,96.0
96,399.0,86.0,3236.0,934.0,1203.0,1113.0,663.0,2935.0,551.0,192.0,172.0,406.0,2475.0,539.0,97.0
97,17.0,56.0,38.0,19.0,600.0,11.0,94.0,18.0,39.0,54.0,71.0,116.0,1.0,37.0,98.0
98,224.0,8.0,9.0,43.0,58.0,0.0,27.0,40.0,12.0,4.0,55.0,14.0,1.0,26.0,99.0
99,8.0,19.0,8.0,100.0,11.0,334.0,33.0,55.0,15.0,39.0,85.0,12.0,51.0,17.0,100.0
100,364.0,10.0,6.0,67.0,23.0,1.0,12.0,102.0,54.0,29.0,80.0,23.0,12.0,22.0,101.0
101,51.0,54.0,19.0,97.0,94.0,302.0,77.0,176.0,39.0,143.0,163.0,17.0,22.0,50.0,102.0
102,61.0,32.0,57.0,36.0,275.0,26.0,88.0,52.0,23.0,33.0,101.0,29.0,16.0,38.0,103.0
103,52.0,29.0,446.0,342.0,1006.0,686.0,191.0,801.0,124.0,106.0,87.0,193.0,1678.0,113.0,104.0
104,50.0,7.0,10.0,84.0,43.0,113.0,73.0,144.0,11.0,25.0,50.0,7.0,13.0,29.0,105.0
105,24.0,159.0,30.0,58.0,10.0,189.0,25.0,53.0,15.0,10.0,115.0,44.0,49.0,261.0,106.0
106,39.0,22.0,73.0,750.0,256.0,635.0,375.0,553.0,151.0,37.0,43.0,28.0,268.0,44.0,107.0
107,156.0,3.0,5.0,347.0,330.0,383.0,22.0,144.0,50.0,22.0,28.0,14.0,31.0,15.0,108.0
108,632.0,76.0,60.0,1623.0,70.0,647.0,1736.0,857.0,14728.0,40.0,119.0,21.0,95.0,41.0,109.0
109,42.0,19.0,174.0,57.0,4.0,234.0,19.0,378.0,49.0,33.0,39.0,27.0,207.0,72.0,110.0
110,132.0,2.0,136.0,78.0,20.0,347.0,43.0,363.0,42.0,21.0,39.0,3.0,176.0,2.0,111.0
111,161.0,10.0,45.0,301.0,342.0,125.0,470.0,177.0,167.0,13.0,94.0,8.0,48.0,77.0,112.0
112,424.0,73.0,71.0,209.0,330.0,185.0,57.0,947.0,39.0,47.0,90.0,26.0,171.0,50.0,113.0
