,talk_id,tags
0,1,children
1,1,creativity
2,1,culture
3,1,dance
4,1,education
5,1,parenting
6,1,teaching
7,2,alternative energy
8,2,cars
9,2,climate change
10,2,culture
11,2,environment
12,2,global issues
13,2,science
14,2,sustainability
15,2,technology
16,3,computers
17,3,entertainment
18,3,interface design
19,3,media
20,3,music
21,3,performance
22,3,simplicity
23,3,software
24,3,technology
25,4,MacArthur grant
26,4,activism
27,4,business
28,4,cities
29,4,environment
30,4,green
31,4,inequality
32,4,politics
33,4,pollution
34,5,Africa
35,5,Asia
36,5,Google
37,5,demo
38,5,economics
39,5,global development
40,5,global issues
41,5,health
42,5,math
43,5,statistics
44,5,visualizations
45,6,business
46,6,culture
47,6,entertainment
48,6,goal-setting
49,6,motivation
50,6,potential
51,6,psychology
52,7,Christianity
53,7,God
54,7,atheism
55,7,comedy
56,7,culture
57,7,humor
58,7,performance
59,7,religion
60,7,storytelling
61,8,architecture
62,8,collaboration
63,8,culture
64,8,design
65,8,library
66,9,God
67,9,TED Brain Trust
68,9,atheism
69,9,brain
70,9,cognitive science
71,9,consciousness
72,9,evolution
73,9,philosophy
74,9,religion
75,10,Christianity
76,10,God
77,10,culture
78,10,happiness
79,10,leadership
80,10,motivation
81,10,philanthropy
82,10,religion
83,11,activism
84,11,architecture
85,11,collaboration
86,11,culture
87,11,design
88,11,disaster relief
89,11,global issues
90,11,invention
91,11,open-source
92,11,philanthropy
93,12,TED Prize
94,12,art
95,12,culture
96,12,entertainment
97,12,film
98,12,global issues
99,12,movies
100,12,peace
101,12,social change
102,12,storytelling
103,13,TED Prize
104,13,collaboration
105,13,disease
106,13,ebola
107,13,global issues
108,13,health
109,13,science
110,13,technology
111,14,demo
112,14,design
113,14,interface design
114,14,technology
115,15,children
116,15,design
117,15,education
118,15,entrepreneur
119,15,global issues
120,15,philanthropy
121,15,social change
122,15,technology
123,16,entertainment
124,16,music
125,16,performance
126,16,violin
127,16,wunderkind
128,16,youth
129,17,creativity
130,17,entertainment
131,17,music
132,17,performance
133,17,piano
134,17,wunderkind
135,18,MacArthur grant
136,18,alternative energy
137,18,design
138,18,engineering
139,18,global issues
140,18,industrial design
141,18,invention
142,18,simplicity
143,19,DNA
144,19,biology
145,19,creativity
146,19,design
147,19,industrial design
148,19,invention
149,19,nature
150,19,product design
151,19,science and art
152,20,business
153,20,collaboration
154,20,culture
155,20,invention
156,20,media
157,20,open-source
158,20,technology
159,20,wikipedia
160,21,business
161,21,collaboration
162,21,culture
163,21,global issues
164,21,library
165,21,open-source
166,21,technology
167,22,collaboration
168,22,comedy
169,22,community
170,22,culture
171,22,dance
172,22,demo
173,22,entertainment
174,22,humor
175,22,performance
176,22,software
177,23,business
178,23,communication
179,23,community
180,23,culture
181,23,design
182,23,entertainment
183,23,software
184,23,storytelling
185,24,cognitive science
186,24,culture
187,24,evolution
188,24,gender
189,24,love
190,24,psychology
191,24,relationships
192,24,science
193,25,culture
194,25,entertainment
195,25,gender
196,25,global issues
197,25,happiness
198,25,performance
199,25,storytelling
200,25,theater
201,25,women
202,26,climate change
203,26,cosmos
204,26,culture
205,26,environment
206,26,global issues
207,26,physics
208,26,science
209,26,technology
210,26,universe
211,27,astronomy
212,27,biology
213,27,cognitive science
214,27,cosmos
215,27,evolution
216,27,physics
217,27,psychology
218,27,science
219,28,business
220,28,cities
221,28,culture
222,28,economics
223,28,narcotics
224,28,race
225,29,business
226,29,choice
227,29,consumerism
228,29,culture
229,29,economics
230,29,food
231,29,marketing
232,29,media
233,29,storytelling
234,30,TED Brain Trust
235,30,brain
236,30,choice
237,30,culture
238,30,evolution
239,30,happiness
240,30,psychology
241,30,science
242,31,business
243,31,choice
244,31,culture
245,31,decision-making
246,31,economics
247,31,happiness
248,31,personal growth
249,31,potential
250,31,psychology
251,32,cancer
252,32,disease
253,32,health
254,32,science
255,32,technology
256,32,wunderkind
257,33,aging
258,33,biotech
259,33,disease
260,33,engineering
261,33,future
262,33,health care
263,33,science
264,33,technology
265,34,alternative energy
266,34,business
267,34,communication
268,34,culture
269,34,global development
270,34,global issues
271,34,invention
272,34,investment
273,34,microfinance
274,34,poverty
275,34,technology
276,34,telecom
277,34,transportation
278,35,Africa
279,35,TED Brain Trust
280,35,business
281,35,culture
282,35,entrepreneur
283,35,global development
284,35,investment
285,35,microfinance
286,35,philanthropy
287,35,poverty
288,36,business
289,36,culture
290,36,global issues
291,36,investment
292,36,media
293,36,philanthropy
294,37,business
295,37,corruption
296,37,culture
297,37,economics
298,37,entrepreneur
299,37,global development
300,37,global issues
301,37,investment
302,37,military
303,37,policy
304,37,politics
305,37,poverty
306,38,NASA
307,38,aircraft
308,38,business
309,38,design
310,38,engineering
311,38,entrepreneur
312,38,flight
313,38,industrial design
314,38,invention
315,38,rocket science
316,39,climate change
317,39,culture
318,39,exploration
319,39,global issues
320,39,personal growth
321,39,potential
322,39,sports
323,39,technology
324,39,travel
325,40,AIDS
326,40,Africa
327,40,activism
328,40,entertainment
329,40,global issues
330,40,philanthropy
331,40,poverty
332,40,social change
333,41,TED Prize
334,41,art
335,41,cities
336,41,culture
337,41,design
338,41,environment
339,41,photography
340,41,pollution
341,41,social change
342,42,TED Prize
343,42,business
344,42,disease
345,42,health care
346,42,invention
347,42,medicine
348,42,science
349,42,technology
350,43,culture
351,43,genetics
352,43,science
353,43,statistics
354,43,technology
355,44,culture
356,44,entertainment
357,44,faith
358,44,illusion
359,44,religion
360,44,science
361,45,TED Brain Trust
362,45,biotech
363,45,business
364,45,culture
365,45,future
366,45,invention
367,45,robots
368,45,science
369,45,technology
370,46,choice
371,46,culture
372,46,evolution
373,46,future
374,46,history
375,46,philosophy
376,46,science
377,46,technology
378,47,TED Brain Trust
379,47,activism
380,47,art
381,47,collaboration
382,47,culture
383,47,film
384,47,global issues
385,47,music
386,47,social change
387,47,storytelling
388,48,business
389,48,culture
390,48,entertainment
391,48,happiness
392,48,psychology
393,48,success
394,48,work
395,49,culture
396,49,entertainment
397,49,love
398,49,performance
399,49,philosophy
400,49,poetry
401,50,culture
402,50,disease
403,50,food
404,50,global issues
405,50,health
406,50,health care
407,50,obesity
408,50,science
409,51,business
410,51,cities
411,51,culture
412,51,entrepreneur
413,51,future
414,51,global development
415,51,global issues
416,51,policy
417,51,poverty
418,51,social change
419,52,AIDS
420,52,Africa
421,52,business
422,52,choice
423,52,climate change
424,52,culture
425,52,disaster relief
426,52,economics
427,52,environment
428,52,future
429,53,anthropology
430,53,culture
431,53,environment
432,53,film
433,53,global issues
434,53,language
435,53,photography
436,54,activism
437,54,art
438,54,culture
439,54,design
440,54,film
441,54,global issues
442,54,photography
443,54,social change
444,54,storytelling
445,55,astronomy
446,55,climate change
447,55,complexity
448,55,cosmos
449,55,science
450,55,social change
451,55,technology
452,55,time
453,55,universe
454,56,collaboration
455,56,culture
456,56,evolutionary psychology
457,56,global issues
458,56,war
459,57,cities
460,57,culture
461,57,design
462,57,disease
463,57,health
464,57,history
465,57,map
466,57,science
467,57,urban planning
468,58,business
469,58,collaboration
470,58,culture
471,58,economics
472,58,innovation
473,58,invention
474,58,media
475,58,open-source
476,58,product design
477,59,dance
478,59,entertainment
479,59,nature
480,59,performance
481,59,science
482,59,science and art
483,60,MacArthur grant
484,60,United States
485,60,culture
486,60,entertainment
487,60,history
488,60,interview
489,60,performance
490,60,performance art
491,60,race
492,60,sports
493,60,storytelling
494,60,theater
495,61,MacArthur grant
496,61,collaboration
497,61,design
498,61,innovation
499,61,invention
500,61,materials
501,61,open-source
502,61,product design
503,61,technology
504,62,code
